,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
0,500002,"1,039.10","1,399.50","1,332.00","1,284.10","1,212.15","1,313.05"
1,500003,128.45,286.35,204.20,193.50,251.80,258.25
2,500008,871.60,840.55,742.75,724.50,925.15,"1,002.10"
3,500009,7.24,10.36,13.24,15.69,20.25,23.80
4,500010,"1,262.45","1,710.40","1,970.00","2,413.45","2,558.60","2,653.40"
5,500012,21.85,64.00,57.40,36.30,50.85,61.65
6,500013,14.05,26.55,11.72,5.05,11.43,11.36
7,500014,2.50,3.79,1.84,1.34,1.90,2.56
8,500016,NA,NA,10.06,7.59,7.58,7.25
9,500020,47.25,277.50,113.80,79.25,79.60,81.15
10,500023,101.55,176.95,150.00,97.75,75.45,74.95
11,500027,"2,067.20","2,729.95","3,430.35","4,053.30","6,429.40","6,638.65"
12,500028,5.55,9.74,7.45,3.55,5.10,6.48
13,500029,48.65,68.80,40.50,21.60,25.20,24.30
14,500031,217.20,496.85,503.70,357.85,610.35,667.25
15,500032,14.07,15.35,8.70,6.59,6.17,6.87
16,500033,"3,741.85","3,691.50","1,612.50","1,084.90","1,361.15","1,365.45"
17,500034,839.25,"1,756.80","2,641.15","4,235.10","5,296.00","5,080.70"
18,500038,124.75,132.35,101.80,183.35,172.15,172.05
19,500039,188.50,260.25,183.65,107.35,147.45,142.60
20,500040,797.55,"1,435.45",922.40,477.15,411.25,416.60
21,500041,"1,831.00","2,130.20","1,513.30","1,176.85","1,416.70","1,475.05"
22,500042,"1,151.55","2,138.70","1,543.65",987.65,"1,627.45","1,707.65"
23,500043,448.30,747.00,"1,133.40","1,750.70","1,578.85","1,648.55"
24,500048,"1,000.70","1,617.65",905.00,983.60,968.10,983.60
25,500049,"1,374.30",182.05,87.95,100.10,120.00,132.05
26,500052,22.35,187.95,88.15,51.90,145.80,158.80
27,500055,40.50,70.00,39.60,29.80,39.80,44.30
28,500060,38.70,64.75,196.80,61.05,56.95,67.50
29,500067,476.25,813.35,619.60,842.80,802.70,809.15
30,500068,"4,255.00","6,250.00","5,350.00","4,882.00","4,212.35","4,050.00"
31,500069,37.90,127.30,101.00,70.00,103.95,101.00
32,500074,62.80,110.70,41.20,19.05,23.00,23.65
33,500078,700.05,"1,233.75",295.20,174.70,555.70,570.35
34,500083,7.24,6.52,8.06,2.53,5.17,5.20
35,500084,636.75,"1,047.85",668.60,737.25,614.30,623.20
36,500085,71.10,152.25,147.90,152.05,228.15,239.90
37,500086,180.00,222.85,267.05,186.50,191.35,198.25
38,500087,568.20,607.15,520.00,478.45,819.85,838.35
39,500089,446.10,566.80,371.50,325.35,413.10,403.20
40,500092,"2,210.50","1,872.75","1,618.95","1,910.25","1,922.85","1,952.45"
41,500093,59.30,92.85,45.05,10.82,44.85,42.90
42,500096,277.05,348.60,431.00,458.40,534.00,539.80
43,500097,135.70,133.45,91.95,105.00,143.80,142.55
44,500101,352.80,450.10,98.05,39.90,46.75,51.05
45,500102,15.50,18.02,5.48,0.43,1.33,1.24
46,500103,121.05,92.60,73.00,43.45,35.90,39.35
47,500104,441.20,416.30,253.25,264.45,217.90,225.50
48,500106,27.20,30.90,14.98,6.62,9.15,10.17
49,500108,20.30,24.95,16.19,9.47,13.83,14.14
50,500109,97.85,128.50,75.75,44.80,35.45,38.65
51,500110,273.80,429.00,297.35,123.85,106.65,110.75
52,500111,431.00,578.70,229.65,14.75,12.03,11.46
53,500112,249.75,309.50,295.65,333.70,274.75,286.00
54,500113,49.20,92.15,56.45,42.90,74.10,77.05
55,500114,325.75,856.00,929.95,"1,187.60","1,567.50","1,549.20"
56,500116,69.40,59.85,61.30,37.00,31.10,31.55
57,500117,29.30,42.45,18.40,14.47,19.29,18.75
58,500119,131.20,215.60,159.65,232.40,168.60,171.00
59,500120,56.50,104.15,130.80,130.55,332.35,377.30
60,500123,"1,818.05","2,249.75","2,251.85","2,471.65","2,755.30","3,064.80"
61,500124,"3,058.50","2,414.40","2,617.00","2,877.15","5,204.10","5,337.30"
62,500125,256.45,370.05,206.40,201.55,344.00,331.90
63,500126,997.50,"1,288.65","3,084.20","4,352.30","6,814.45","6,953.35"
