,Security Code,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020
0,500002,"1,039.10","1,399.50","1,332.00","1,284.10","1,296.25"
1,500003,128.45,286.35,204.20,193.50,253.10
2,500008,871.60,840.55,742.75,724.50,979.15
3,500009,7.24,10.36,13.24,15.69,24.70
4,500010,"1,262.45","1,710.40","1,970.00","2,413.45","2,636.35"
5,500012,21.85,64.00,57.40,36.30,60.90
6,500013,14.05,26.55,11.72,5.05,12.57
7,500014,2.50,3.79,1.84,1.34,2.33
8,500016,NA,NA,10.06,7.59,7.20
9,500020,47.25,277.50,113.80,79.25,78.40
10,500023,101.55,176.95,150.00,97.75,75.05
11,500027,"2,067.20","2,729.95","3,430.35","4,053.30","6,577.35"
12,500028,5.55,9.74,7.45,3.55,5.90
13,500029,48.65,68.80,40.50,21.60,24.55
14,500031,217.20,496.85,503.70,357.85,632.55
15,500032,14.07,15.35,8.70,6.59,6.95
16,500033,"3,741.85","3,691.50","1,612.50","1,084.90","1,384.20"
17,500034,839.25,"1,756.80","2,641.15","4,235.10","5,027.95"
18,500038,124.75,132.35,101.80,183.35,174.05
19,500039,188.50,260.25,183.65,107.35,142.75
20,500040,797.55,"1,435.45",922.40,477.15,417.70
21,500041,"1,831.00","2,130.20","1,513.30","1,176.85","1,493.10"
22,500042,"1,151.55","2,138.70","1,543.65",987.65,"1,694.10"
23,500043,448.30,747.00,"1,133.40","1,750.70","1,659.60"
24,500048,"1,000.70","1,617.65",905.00,983.60,991.85
25,500049,"1,374.30",182.05,87.95,100.10,133.10
26,500052,22.35,187.95,88.15,51.90,151.50
27,500055,40.50,70.00,39.60,29.80,42.40
28,500060,38.70,64.75,196.80,61.05,69.35
29,500067,476.25,813.35,619.60,842.80,812.25
30,500068,"4,255.00","6,250.00","5,350.00","4,882.00","4,021.15"
31,500069,37.90,127.30,101.00,70.00,98.30
32,500074,62.80,110.70,41.20,19.05,23.30
33,500078,700.05,"1,233.75",295.20,174.70,556.05
34,500083,7.24,6.52,8.06,2.53,5.39
35,500084,636.75,"1,047.85",668.60,737.25,622.00
36,500085,71.10,152.25,147.90,152.05,244.90
37,500086,180.00,222.85,267.05,186.50,193.75
38,500087,568.20,607.15,520.00,478.45,825.00
39,500089,446.10,566.80,371.50,325.35,403.60
40,500092,"2,210.50","1,872.75","1,618.95","1,910.25","1,915.95"
41,500093,59.30,92.85,45.05,10.82,43.30
42,500096,277.05,348.60,431.00,458.40,533.75
43,500097,135.70,133.45,91.95,105.00,146.65
44,500101,352.80,450.10,98.05,39.90,50.95
45,500102,15.50,18.02,5.48,0.43,1.25
46,500103,121.05,92.60,73.00,43.45,39.40
47,500104,441.20,416.30,253.25,264.45,220.90
48,500106,27.20,30.90,14.98,6.62,9.45
49,500108,20.30,24.95,16.19,9.47,14.73
50,500109,97.85,128.50,75.75,44.80,39.25
51,500110,273.80,429.00,297.35,123.85,108.90
52,500111,431.00,578.70,229.65,14.75,11.97
53,500112,249.75,309.50,295.65,333.70,284.90
54,500113,49.20,92.15,56.45,42.90,76.25
55,500114,325.75,856.00,929.95,"1,187.60","1,574.30"
56,500116,69.40,59.85,61.30,37.00,31.70
57,500117,29.30,42.45,18.40,14.47,18.85
58,500119,131.20,215.60,159.65,232.40,173.50
59,500120,56.50,104.15,130.80,130.55,387.65
60,500123,"1,818.05","2,249.75","2,251.85","2,471.65","3,119.65"
