,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
0,500002,895.00,950.50,859.45,897.30,"1,073.70","1,212.15","1,296.90"
1,500003,190.05,210.65,228.50,206.85,256.60,251.80,261.35
2,500008,708.25,729.10,763.65,766.25,946.45,925.15,993.90
3,500009,19.25,20.15,18.65,17.55,21.15,20.25,22.90
4,500010,"1,782.85","1,832.65","1,739.30","1,922.75","2,257.55","2,558.60","2,751.65"
5,500012,21.95,26.95,33.35,36.85,39.50,50.85,59.45
6,500013,3.92,4.44,3.95,4.11,4.47,11.43,10.80
7,500014,1.53,1.13,1.14,1.14,1.10,1.90,2.68
8,500016,5.25,6.79,6.75,4.98,6.75,7.58,6.89
9,500020,59.00,68.55,62.95,61.70,71.00,79.60,80.50
10,500023,53.60,62.00,55.15,51.90,54.05,75.45,75.10
11,500027,"5,047.20","5,776.05","6,103.85","6,006.70","6,310.05","6,429.40","6,534.95"
12,500028,3.32,3.33,3.73,3.71,4.80,5.10,6.80
13,500029,18.95,22.20,19.30,18.10,20.75,25.20,29.15
14,500031,425.15,498.45,502.55,488.00,572.70,610.35,704.80
15,500032,5.57,5.76,4.98,4.69,5.61,6.17,6.71
16,500033,888.05,"1,080.45","1,058.10","1,028.45","1,162.30","1,361.15","1,376.70"
17,500034,"3,251.60","3,489.45","3,277.25","3,307.65","4,903.30","5,296.00","4,984.15"
18,500038,125.45,147.30,155.10,159.95,164.60,172.15,177.70
19,500039,79.00,90.20,89.85,89.90,128.85,147.45,139.80
20,500040,307.45,334.25,331.35,306.05,351.30,411.25,429.30
21,500041,"1,275.00","1,300.00","1,300.00","1,308.00","1,344.00","1,416.70","1,485.00"
22,500042,"1,333.85","1,479.40","1,513.15","1,363.50","1,658.10","1,627.45","1,683.60"
23,500043,"1,267.50","1,299.15","1,318.00","1,312.90","1,571.80","1,578.85","1,622.50"
24,500048,640.40,669.20,610.50,614.90,723.45,968.10,972.20
25,500049,95.85,106.25,95.75,87.05,111.15,120.00,134.60
26,500052,42.95,59.15,72.55,81.90,120.20,145.80,169.10
27,500055,21.85,24.35,20.95,24.85,35.30,39.80,43.30
28,500060,47.25,56.45,51.80,48.20,53.35,56.95,66.25
29,500067,486.85,636.40,637.80,626.40,806.50,802.70,807.15
30,500068,"3,400.85","3,568.45","3,402.15","3,420.10","3,994.30","4,212.35","4,134.40"
31,500069,66.55,68.75,63.40,70.00,79.00,103.95,102.90
32,500074,18.45,20.50,18.45,17.40,23.40,23.00,23.15
33,500078,343.05,308.80,351.00,458.05,515.05,555.70,565.65
34,500083,4.00,3.94,3.35,3.36,3.81,5.17,5.33
35,500084,549.00,599.65,613.75,563.15,581.65,614.30,624.70
36,500085,158.30,148.35,157.80,162.50,203.55,228.15,233.05
37,500086,155.65,164.00,164.75,158.95,184.65,191.35,198.70
38,500087,720.30,712.10,774.75,754.10,744.65,819.85,856.55
39,500089,343.25,388.25,385.00,367.00,369.10,413.10,398.55
40,500092,"1,678.60","1,752.45","1,780.55","2,063.80","1,976.25","1,922.85","1,950.45"
41,500093,9.34,22.68,24.00,31.40,41.15,44.85,41.40
42,500096,513.45,475.05,510.70,511.55,499.60,534.00,546.35
43,500097,123.80,130.55,128.55,130.90,137.65,143.80,141.65
44,500101,28.75,33.40,33.85,33.75,40.55,46.75,53.85
45,500102,2.42,1.52,1.26,1.19,1.17,1.33,1.21
46,500103,35.95,38.55,29.30,28.00,32.85,35.90,39.00
47,500104,215.00,201.70,180.20,187.70,209.00,217.90,224.10
48,500106,6.21,6.89,6.02,5.79,6.45,9.15,10.16
49,500108,9.27,9.13,8.34,9.46,9.52,13.83,13.71
50,500109,36.45,31.95,25.70,28.90,29.55,35.45,40.80
51,500110,79.60,80.25,68.85,76.95,85.40,106.65,117.05
52,500111,9.49,9.85,7.82,9.06,9.71,12.03,11.52
53,500112,191.45,212.15,185.40,189.25,244.30,274.75,282.35
54,500113,34.05,38.55,33.75,34.35,48.45,74.10,74.75
55,500114,"1,043.25","1,099.20","1,200.50","1,164.90","1,357.85","1,567.50","1,563.50"
56,500116,38.70,39.35,34.75,36.45,38.10,31.10,31.15
57,500117,10.94,13.83,15.10,15.00,16.90,19.29,18.65
58,500119,126.40,144.10,140.30,143.05,158.40,168.60,171.65
59,500120,361.20,475.30,419.95,399.65,363.75,332.35,382.55
60,500123,"2,166.05","2,473.20","2,588.55","2,184.00","2,522.50","2,755.30","2,965.10"
61,500124,"4,521.90","4,257.90","5,187.05","4,887.95","4,829.60","5,204.10","5,416.60"
62,500125,290.60,286.75,283.10,276.00,346.75,344.00,345.05
63,500126,"4,162.15","4,803.45","5,003.05","5,141.10","6,878.70","6,814.45","6,965.60"
64,500128,14.25,14.87,20.45,21.45,22.80,23.05,22.40
65,500133,"1,393.30","1,397.35","1,370.05","1,311.30","1,451.45","1,898.25","1,821.35"
66,500135,234.15,270.60,241.60,248.30,260.95,251.95,271.90
67,500136,56.25,65.00,73.80,121.60,127.10,117.65,123.60
68,500142,0.96,1.17,1.00,1.05,0.83,0.86,1.17
69,500143,12.35,12.70,11.60,9.50,14.58,23.49,20.35
70,500144,269.80,277.80,275.30,277.50,308.60,342.60,411.30
71,500147,534.00,725.60,798.05,772.85,716.55,787.50,847.90
72,500148,265.05,332.20,313.50,333.85,349.45,376.30,365.65
73,500150,"1,041.60","1,245.35","1,234.00","1,161.55","1,164.45","1,311.35","1,343.05"
74,500151,21.10,23.50,21.00,21.50,26.55,53.15,51.75
75,500153,41.25,45.90,60.45,63.00,65.55,61.75,59.80
76,500155,12.40,10.83,10.39,8.65,9.76,13.07,9.57
77,500159,43.30,52.45,44.05,43.25,45.50,50.70,59.25
78,500160,1.84,1.57,3.06,3.13,3.08,6.21,8.70
79,500163,916.25,965.15,922.25,895.55,906.55,973.25,965.70
80,500164,353.80,439.70,411.90,366.50,405.20,422.95,433.00
81,500165,432.80,478.95,500.25,514.50,541.85,606.60,606.05
82,500166,227.45,282.60,288.05,281.05,261.60,277.10,262.80
83,500168,895.15,953.25,850.30,809.60,821.95,965.75,954.20
84,500170,7.27,8.24,7.77,6.55,8.63,13.40,14.03
85,500171,138.05,160.05,158.55,156.55,169.95,205.20,212.95
86,500173,80.05,94.65,95.90,79.55,83.25,89.95,96.40
87,500174,2.09,1.81,2.58,2.19,2.14,2.40,3.15
88,500179,8.75,8.53,7.97,7.65,8.12,8.74,9.40
89,500180,"1,032.65","1,115.20","1,079.20","1,183.45","1,440.70","1,436.75","1,450.80"
90,500182,"2,677.20","3,007.10","3,145.85","2,799.80","3,104.65","3,109.35","3,197.55"
91,500183,12.50,15.46,15.85,17.30,18.45,25.75,33.20
92,500184,42.85,51.35,53.80,47.15,41.00,43.80,49.60
93,500185,5.54,5.93,5.27,4.96,5.78,9.04,8.87
94,500186,64.85,75.45,72.45,63.90,76.75,86.30,90.55
95,500187,54.95,62.40,79.50,77.70,103.00,118.95,116.95
96,500188,210.35,226.65,209.90,203.25,229.80,238.90,292.30
97,500189,400.70,671.80,640.15,618.15,595.55,530.70,614.95
98,500191,16.63,16.95,15.00,14.79,14.66,21.60,25.45
99,500192,2.17,2.22,2.18,2.05,2.08,2.23,2.25
100,500193,4.80,5.02,4.84,4.67,4.94,5.12,7.06
101,500199,157.75,221.90,315.55,290.80,445.35,423.10,396.35
102,500201,269.60,288.80,278.35,274.75,294.75,308.80,396.10
103,500202,3.61,4.19,3.57,6.09,7.10,8.75,10.01
104,500206,6.93,6.55,6.70,8.55,9.55,8.50,7.23
105,500207,14.70,19.49,23.40,21.30,24.35,41.90,40.70
106,500209,966.25,928.50,"1,008.00","1,060.60","1,100.55","1,255.85","1,376.10"
107,500210,607.80,622.15,590.00,571.75,648.35,652.40,740.50
108,500211,8.23,9.07,8.15,7.96,8.03,10.34,10.32
109,500212,21.20,22.55,31.80,30.60,28.05,23.35,25.60
110,500213,45.40,55.15,51.50,48.15,52.65,60.75,62.50
111,500214,662.65,736.25,725.20,745.40,844.55,906.60,"1,036.15"
112,500215,593.90,704.45,689.70,716.70,719.85,899.30,841.05
113,500219,10.03,11.28,14.06,15.11,19.25,19.05,23.25
114,500220,22.85,27.25,26.00,32.25,34.00,45.70,47.00
115,500223,1.22,0.97,0.91,0.80,0.76,0.92,0.85
116,500227,373.75,469.25,430.30,455.30,468.75,456.85,456.60
117,500228,220.20,269.90,277.70,308.90,350.50,387.30,399.15
118,500231,41.20,45.60,42.45,43.65,46.35,64.05,66.55
119,500233,405.60,436.20,554.00,567.50,647.95,703.20,750.55
120,500234,138.15,158.60,145.20,162.15,170.00,192.90,190.25
121,500235,215.55,213.55,220.25,209.35,237.65,280.30,282.75
122,500236,0.35,0.35,0.36,0.29,0.32,0.46,0.58
123,500238,"2,069.95","2,122.20","2,204.85","2,119.55","2,181.40","2,626.45","2,454.85"
124,500239,24.80,24.70,23.30,20.45,21.50,27.20,27.90
125,500240,17.60,23.55,21.05,20.85,22.55,29.15,29.00
126,500241,131.35,126.70,116.25,102.95,138.85,128.85,137.05
127,500243,618.60,626.15,655.50,602.05,695.05,807.25,787.00
128,500245,75.85,86.60,89.90,93.30,114.85,140.30,142.05
129,500246,35.00,21.35,31.45,29.25,25.00,29.55,28.50
130,500247,"1,367.45","1,402.15","1,268.15","1,547.60","1,901.65","1,995.40","1,938.85"
131,500248,3.15,2.99,3.27,3.11,3.26,3.41,3.75
132,500249,508.40,522.70,477.85,454.40,568.30,646.80,626.15
133,500250,224.40,248.45,225.00,249.50,260.30,304.45,297.00
134,500251,556.85,639.10,671.30,659.55,723.40,687.90,694.65
135,500252,"2,993.10","3,248.75","3,515.70","4,008.75","4,258.95","4,601.75","5,006.65"
136,500253,262.40,299.30,275.70,282.95,330.00,361.20,430.60
137,500257,926.75,927.55,"1,007.10",908.40,891.80,976.70,"1,075.60"
138,500259,18.05,20.10,18.70,17.40,20.80,31.25,27.55
139,500260,691.60,691.15,753.05,796.35,889.95,796.15,861.70
140,500264,89.50,91.30,78.00,81.35,88.45,116.35,119.00
141,500265,196.30,229.80,220.95,221.10,259.30,319.95,319.80
142,500266,"3,001.95","3,042.65","2,851.25","2,789.25","3,831.95","3,809.70","3,691.60"
143,500267,78.75,95.35,93.00,92.40,101.70,122.30,116.55
144,500268,19.70,24.10,34.65,31.45,35.00,35.95,35.55
145,500271,557.75,587.50,612.35,590.65,648.80,673.35,714.15
146,500274,7.45,7.45,NA,7.40,NA,NA,7.70
147,500277,0.82,0.86,0.85,0.86,0.90,1.04,1.10
148,500279,6.46,8.74,8.40,7.68,8.16,12.16,13.36
149,500280,163.40,169.90,172.80,179.10,197.10,211.30,218.75
150,500284,30.85,44.30,34.65,29.50,32.00,32.15,33.00
151,500285,46.85,51.50,48.25,49.60,71.50,94.95,92.85
152,500288,22.95,27.80,24.55,25.35,29.35,30.70,31.30
153,500290,"61,030.40","57,979.65","59,563.90","65,256.50","77,939.95","75,712.40","82,508.15"
154,500292,185.10,189.00,186.45,185.05,207.95,226.70,231.50
155,500294,29.00,34.00,35.60,33.85,43.55,57.65,61.10
156,500295,113.80,128.55,136.90,95.85,121.00,161.45,179.10
157,500296,33.00,38.05,37.50,40.00,46.30,76.25,85.50
158,500298,"1,752.95","2,167.20","1,993.65","1,880.15","1,956.35","1,962.05","2,077.50"
159,500300,633.30,674.90,743.95,778.70,876.25,927.05,"1,002.05"
160,500302,"1,475.10","1,366.80","1,251.95","1,261.55","1,386.70","1,429.60","1,507.30"
161,500304,96.55,118.70,133.15,139.55,176.45,202.20,204.85
162,500306,3.77,3.85,4.54,3.90,3.76,10.29,12.12
163,500307,240.05,245.25,240.15,235.00,240.45,279.00,294.40
164,500312,78.40,82.05,69.30,64.95,78.50,93.20,102.55
165,500314,19.60,21.90,20.95,19.80,22.10,25.45,25.25
166,500317,8.72,8.39,9.59,8.48,9.24,10.46,11.64
167,500319,22.65,23.35,23.15,22.10,22.60,25.10,24.15
168,500325,"2,066.95","2,078.55","2,233.75","2,054.35","1,929.85","1,984.65","1,897.00"
169,500327,5.96,6.55,6.34,6.76,7.86,9.92,11.14
170,500330,239.25,287.55,290.65,271.85,321.70,337.55,347.30
171,500331,"1,357.05","1,402.50","1,432.05","1,570.45","1,528.70","1,765.95","1,831.20"
172,500333,125.35,131.80,130.20,142.95,218.45,248.70,272.85
173,500335,597.90,616.45,667.50,640.20,709.55,721.55,744.65
174,500336,113.60,167.90,198.30,221.50,260.55,361.50,329.60
