,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
0,500002,ABB,ABB India Limited,Active,A,2.0,INE117A01022,Heavy Electrical Equipment,Equity,895.00,950.50,859.45,897.30,"1,073.70","1,212.15","1,296.90"
1,500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A,1.0,INE208C01025,Oil Marketing & Distribution,Equity,190.05,210.65,228.50,206.85,256.60,251.80,261.35
2,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A,1.0,INE885A01032,Auto Parts & Equipment,Equity,708.25,729.10,763.65,766.25,946.45,925.15,993.90
3,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10.0,INE432A01017,Pharmaceuticals,Equity,19.25,20.15,18.65,17.55,21.15,20.25,22.90
4,500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A,2.0,INE001A01036,Housing Finance,Equity,"1,782.85","1,832.65","1,739.30","1,922.75","2,257.55","2,558.60","2,751.65"
5,500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X,10.0,INE714B01016,Commodity Chemicals,Equity,21.95,26.95,33.35,36.85,39.50,50.85,59.45
6,500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,T,5.0,INE436A01026,Realty,Equity,3.92,4.44,3.95,4.11,4.47,11.43,10.80
7,500014,UTIQUE,Utique Enterprises Ltd,Active,X,10.0,INE096A01010,Finance (including NBFCs),Equity,1.53,1.13,1.14,1.14,1.10,1.90,2.68
8,500016,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.0,INE957C01019,Hotels,Equity,5.25,6.79,6.75,4.98,6.75,7.58,6.89
9,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2.0,INE032A01023,Textiles,Equity,59.00,68.55,62.95,61.70,71.00,79.60,80.50
10,500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B,10.0,INE363A01022,Hotels,Equity,53.60,62.00,55.15,51.90,54.05,75.45,75.10
