,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
0,500002,ABB,ABB India Limited,Active,A,2.0,INE117A01022,Heavy Electrical Equipment,Equity,"1,039.10","1,399.50","1,332.00","1,284.10","1,212.15","1,313.05"
1,500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A,1.0,INE208C01025,Oil Marketing & Distribution,Equity,128.45,286.35,204.20,193.50,251.80,258.25
2,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A,1.0,INE885A01032,Auto Parts & Equipment,Equity,871.60,840.55,742.75,724.50,925.15,"1,002.10"
3,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10.0,INE432A01017,Pharmaceuticals,Equity,7.24,10.36,13.24,15.69,20.25,23.80
4,500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A,2.0,INE001A01036,Housing Finance,Equity,"1,262.45","1,710.40","1,970.00","2,413.45","2,558.60","2,653.40"
5,500012,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X,10.0,INE714B01016,Commodity Chemicals,Equity,21.85,64.00,57.40,36.30,50.85,61.65
6,500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,T,5.0,INE436A01026,Realty,Equity,14.05,26.55,11.72,5.05,11.43,11.36
7,500014,UTIQUE,Utique Enterprises Ltd,Active,X,10.0,INE096A01010,Finance (including NBFCs),Equity,2.50,3.79,1.84,1.34,1.90,2.56
8,500016,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.0,INE957C01019,Hotels,Equity,NA,NA,10.06,7.59,7.58,7.25
9,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2.0,INE032A01023,Textiles,Equity,47.25,277.50,113.80,79.25,79.60,81.15
10,500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B,10.0,INE363A01022,Hotels,Equity,101.55,176.95,150.00,97.75,75.45,74.95
11,500027,ATUL,ATUL LTD.,Active,A,10.0,INE100A01010,Specialty Chemicals,Equity,"2,067.20","2,729.95","3,430.35","4,053.30","6,429.40","6,638.65"
12,500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.0,INE447A01015,Construction & Engineering,Equity,5.55,9.74,7.45,3.55,5.10,6.48
13,500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B,10.0,INE448A01013,Auto Parts & Equipment,Equity,48.65,68.80,40.50,21.60,25.20,24.30
14,500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A,2.0,INE193E01025,Household Appliances,Equity,217.20,496.85,503.70,357.85,610.35,667.25
15,500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A,1.0,INE306A01021,Sugar,Equity,14.07,15.35,8.70,6.59,6.17,6.87
